sample	category
DTB-175-BL	MSH6
DTB-175-BL	HDAC4
DTB-175-BL	LSAMP
DTB-175-BL	PDS5A
DTB-175-BL	KMT2C
DTB-175-BL	PTPRD
DTB-175-BL	PTEN
DTB-175-BL	ETV4
DTB-176-BL	ELK4
DTB-176-BL	IDH1
DTB-176-BL	SSR1
DTB-176-BL	COL5A1
DTB-176-BL	ZFHX3
DTB-176-BL	TP53
DTB-176-BL	CHD6
DTB-176-BL	ERG
DTB-176-BL	TTC28
DTB-183-BL	TCERG1
DTB-183-BL	MET
DTB-183-BL	BAG4
DTB-183-BL	STAB2
DTB-186-BL	LSAMP
DTB-186-BL	GPR19
DTB-186-BL	ERG
DTB-186-BL	ZNRF3
DTB-186-BL	AR
DTB-187-BL	ASXL2
DTB-187-BL	ITSN2
DTB-187-BL	LSAMP
DTB-187-BL	ETV1
DTB-187-BL	TTC28
DTB-188-BL	MTOR
DTB-188-BL	CHD1
DTB-190-BL	LSAMP
DTB-190-BL	WRN
DTB-190-BL	PTPRD
DTB-190-BL	PTEN
DTB-194-PRO	ATM
DTB-194-PRO	ZFP36L1
DTB-201-PRO	FER
DTB-201-PRO	PRKDC
DTB-202-BL	ASXL2
DTB-202-BL	PTEN
DTB-202-BL	TP53
DTB-202-BL	ERG
DTB-204-BL	FER
DTB-204-BL	PTPRD
DTB-205-BL	JAK1
DTB-205-BL	ARID1A
DTB-205-BL	DHX30
DTB-205-BL	IGF2R
DTB-205-BL	TCF12
DTB-205-BL	ERG
DTB-205-BL	TTC28
DTB-206-BL	RAD51B
DTB-206-BL	ERG
DTB-210-BL	SPEN
DTB-210-BL	KMT2C
DTB-213-BL	LSAMP
DTB-213-BL	KMT2C
DTB-213-BL	PRKDC
DTB-213-BL	TP53
DTB-213-BL	ERG
DTB-213-BL	TMPRSS2
DTB-214-BL	RPRD2
DTB-214-BL	SETD2
DTB-214-BL	GEMIN5
DTB-214-BL	NOX3
DTB-214-BL	PTPRD
DTB-214-BL	KMT2A
DTB-214-BL	TTC28
DTB-214-BL	ZNRF3
DTB-216-PRO	IL6ST
DTB-216-PRO	PTEN
DTB-216-PRO	NF1
DTB-216-PRO	ERG
DTB-220-BL	RNF43
DTB-222-BL	LSAMP
DTB-222-BL	GPR19
DTB-223-BL	ELK4
DTB-223-BL	CUL3
DTB-223-BL	PDS5A
DTB-223-BL	IGF2R
DTB-223-BL	PTPRD
DTB-223-BL	ERG
DTB-232-PRO	SMARCAD1
DTB-232-PRO	ZFHX3
DTB-232-PRO	ERG
DTB-234-BL	LSAMP
DTB-234-BL	NKX3-1
DTB-234-BL	PTEN
DTB-234-BL	RAD51B
DTB-234-BL	ERG
DTB-251-BL	ERG
DTB-251-BL	TMPRSS2
DTB-252-BL	LSAMP
DTB-252-BL	KMT2C
DTB-252-BL	CHD7
DTB-252-BL	PTPRD
DTB-252-BL	TMPRSS2
DTB-255-BL	PIK3R1
DTB-255-BL	ERG
DTB-258-BL	LSAMP
DTB-258-BL	PTEN
DTB-258-BL	ERG
DTB-258-BL	TMPRSS2
DTB-258-BL	TTC28
DTB-260-BL	LSAMP
DTB-260-BL	KMT2C
DTB-260-BL	TTC28
DTB-261-BL	KMT2C
DTB-265-PRO	KMT2C
DTB-265-PRO	ATM
DTB-265-PRO	GPR19
DTB-265-PRO	RAD51B
DTB-265-PRO	CDC27
DTB-266-BL	RPRD2
DTB-266-BL	COL15A1
DTB-266-BL	ERG
01115154-TA1	USP28
01115154-TA1	CCND1
01115154-TA1	TMPRSS2
01115154-TA1	AR
01115156-TA1	MYC
01115156-TA1	TMPRSS2
01115156-TC5	MYC
01115156-TC5	COL5A1
01115156-TC5	TMPRSS2
01115157-TA3	NCOR1
01115157-TA3	TMPRSS2
01115157-TC3	NCOR1
01115157-TC3	TMPRSS2
01115183-TA1	TRPM4
01115183-TA1	TMPRSS2
01115202-TC2	NCOR1
01115202-TC2	MET
01115202-TC2	KMT2C
01115202-TC2	RSPO2
01115202-TC2	AR
01115202-TC2	KDM6A
01115248-TA3	TTC28
01115248-TA3	PIK3CA
01115248-TA3	COL15A1
01115248-TA3	AXIN2
01115248-TA3	ITSN1
01115249-TC5	ZFHX3
01115249-TC5	AR
01115249-TC5	TTC28
01115257-TA4	SLC4A2
01115257-TA4	ITSN1
01115257-TA4	ZMYM3
01115263-TA3	PMS1
01115263-TA3	LSAMP
01115326-TA3	SSR1
01115326-TA3	TTC28
01115326-TA3	FOXA1
01115374-TA2	SETDB1
01115374-TA2	PIK3CB
01115374-TA2	PRKDC
01115374-TA2	PTEN
01115374-TA2	ZBTB16
01115378-TA2	ADAMTS8
01115378-TA2	TMPRSS2
01115414-TA1	SH3RF1
01115414-TA1	ZNRF3
01115414-TA1	AR
01115444-TA5	COL5A1
01115468-TA3	PYHIN1
01115468-TA3	ETV1
01115468-TA3	APC
01115468-TA3	TTC28
01115503-TC2	SETDB1
01115503-TC2	PIK3CB
01115503-TC2	PRKDC
01115503-TC2	PTEN
01115503-TC2	ZBTB16
01115503-TC2	SPOP
01115525-TA1	ERF
01115531-TA4	FOXA1
01115549-TA4	TMPRSS2
01115554-TA2	TRPM4
01115556-TC1	COL5A1
01115556-TC1	TMPRSS2
01115569-TC1	ETV1
01115576-TC2	ARID2
01115576-TC2	TMPRSS2
01115577-TC1	PIK3CA
01115578-TC4	ASXL2
01115581-TA3	CHD7
01115589-TC2	LSAMP
01115589-TC2	MYC
01115606-TA2	ETV1
01115644-TA1	FER
01115644-TA1	APC
01115655-TA1	RAD51B
01115655-TA1	BRAF
01115655-TA1	STAB2
01115655-TA1	TMPRSS2
01115655-TC1	TTC28
01115655-TC1	BRAF
01115655-TC1	NCOR2
01115655-TC1	AR
01115668-TA4	MSH2
01115668-TA4	TP53
01115668-TA4	COL5A1
01115668-TA4	PTEN
01115669-TA3	RAD51B
01115669-TA3	TP53
06115115-T	TP53
DTB-003-BL	RB1
DTB-003-BL	ERG
DTB-003-BL	TMPRSS2
DTB-005-BL	TTC28
DTB-005-BL	PTEN
DTB-008-BL	MTOR
DTB-008-BL	COL5A1
DTB-008-BL	BRCA1
DTB-008-BL	TMPRSS2
DTB-008-BL	MIRLET7BHG
DTB-009-BL	MIRLET7BHG
DTB-009-BL	CDKN1B
DTB-009-BL	TP53
DTB-011-BL	SLC4A2
DTB-011-BL	FOXA1
DTB-011-BL	TTC28
DTB-018-BL	SAMD9
DTB-018-BL	SPOP
DTB-018-BL	TMPRSS2
DTB-019-PRO	TTC28
DTB-019-PRO	CDK12
DTB-019-PRO	RNF43
DTB-019-PRO	TMPRSS2
DTB-020-BL	TMPRSS2
DTB-021-BL	PTEN
DTB-021-BL	FOXA1
DTB-022-BL	RB1
DTB-023-BL	LSAMP
DTB-023-BL	IL6ST
DTB-023-BL	TTC28
DTB-024-PRO	NCOR2
DTB-034-BL	KMT2D
DTB-034-BL	ZFHX3
DTB-034-BL	TMPRSS2
DTB-035-BL	JAK1
DTB-036-BL	HDAC4
DTB-037-BL	ASXL2
DTB-037-BL	TTC28
DTB-037-BL	KRAS
DTB-037-BL	TMPRSS2
DTB-040-BL	MRE11
DTB-042-BL	KEAP1
DTB-053-BL	RB1
DTB-053-BL	FANCA
DTB-055-PRO	TTC28
DTB-055-PRO	CDK12
DTB-059-BL	JAK1
DTB-059-BL	ETV5
DTB-059-BL	TTC28
DTB-061-BL	TTC28
DTB-061-BL	MAP3K1
DTB-061-BL	SMARCA1
DTB-061-BL	TP53
DTB-061-BL	MIRLET7BHG
DTB-063-BL	TTC28
DTB-064-BL	AXL
DTB-067-PRO	MAP2K4
DTB-067-PRO	TMPRSS2
DTB-069-BL	NCOR1
DTB-069-BL	TTC28
DTB-071-BL	TMPRSS2
DTB-071-BL	CDKN1B
DTB-071-BL	TTC28
DTB-074-BL	PTPRC
DTB-077-PRO	NF1
DTB-077-PRO	TMPRSS2
DTB-080-BL	TTC28
DTB-080-BL	TMPRSS2
DTB-083-BL	TMPRSS2
DTB-083-BL	MSH6
DTB-083-BL	ITSN1
DTB-085-BL	TMPRSS2
DTB-089-BL	RNF43
DTB-089-BL	NCOR1
DTB-089-BL	TMPRSS2
DTB-089-BL	PTEN
DTB-089-BL	TTC28
DTB-090-PRO	TP53
DTB-090-PRO	TMPRSS2
DTB-092-BL	TTC28
DTB-092-BL	TCF12
DTB-092-BL	AR
DTB-092-BL	TMPRSS2
DTB-094-BL	TTC28
DTB-094-BL	ZFHX3
DTB-097-PRO	ZFHX3
DTB-097-PRO	ETV1
DTB-097-PRO	NKX3-1
DTB-097-PRO	PTEN
DTB-097-PRO	RB1
DTB-097-PRO	TTC28
DTB-097-PRO	CDH1
DTB-097-PRO	MIRLET7BHG
DTB-098-PRO2	TTC28
DTB-100-BL	TTC28
DTB-100-BL	RSPO2
DTB-101-BL	IL6ST
DTB-101-BL	TTC28
DTB-101-BL	ERG
DTB-101-BL	ZNRF3
DTB-102-PRO	TMPRSS2
DTB-104-BL	PTPRD
DTB-104-BL	AR
DTB-111-PRO	TTC28
DTB-111-PRO	ZFP36L1
DTB-111-PRO	TMPRSS2
DTB-121-BL	SETDB1
DTB-121-BL	TTC28
DTB-121-BL	CDKN1B
DTB-121-BL	TMPRSS2
DTB-124-BL	MGA
DTB-124-BL	ZNRF3
DTB-124-BL	TCF12
DTB-124-BL	ZFHX3
DTB-126-BL	BRAF
DTB-126-BL	KDM6A
DTB-127-PRO	ZFHX3
DTB-128-BL	JAK1
DTB-128-BL	AR
DTB-129-BL	PTEN
DTB-129-BL	TTC28
DTB-132-BL	ZFHX3
DTB-132-BL	TMPRSS2
DTB-135-PRO	SMARCA1
DTB-135-PRO	RB1
DTB-135-PRO	TTC28
DTB-135-PRO	TP53
DTB-135-PRO	FOXA1
DTB-138-BL	HDAC4
DTB-138-BL	PIK3R1
DTB-138-BL	TTC28
DTB-138-BL	TMPRSS2
DTB-140-BL	TTC28
DTB-140-BL	TP53
DTB-140-BL	COL5A3
DTB-140-BL	TMPRSS2
DTB-141-BL	TMPRSS2
DTB-141-BL	TTC28
DTB-141-BL	ZFP36L1
DTB-143-BL	TMPRSS2
DTB-143-BL	PTPRD
DTB-146-BL	CCND1
DTB-149-BL	HDAC4
DTB-149-BL	TP53
DTB-149-BL	BRCA2
DTB-149-BL	TMPRSS2
DTB-151-BL	ERG
DTB-151-BL	TTC28
DTB-151-BL	ZFP36L1
DTB-156-BL	CDH1
DTB-156-BL	MIRLET7BHG
DTB-156-BL	ARID2
DTB-156-BL	FOXA1
DTB-156-BL	TMPRSS2
DTB-159-BL	TMPRSS2
DTB-165-PRO	TTC28
DTB-165-PRO	NCOR1
DTB-165-PRO	TMPRSS2
DTB-165-PRO	AR
DTB-167-PRO	PTEN
DTB-167-PRO	CHD6
DTB-170-BL	TTC28
DTB-170-BL	ZNRF3
DTB-172-BL	TTC28
DTB-172-BL	TMPRSS2
DTB-173-BL	BRCA1
DTB-173-BL	ERG
DTB-173-BL	TCF12
DTB-173-BL	TTC28
DTB-175-BL	TTC28
DTB-175-BL	ZFP36L1
DTB-175-BL	JADE2
DTB-175-BL	AR
DTB-176-BL	PTEN
DTB-176-BL	TMPRSS2
DTB-176-BL	AR
DTB-183-BL	JADE2
DTB-183-BL	TTC28
DTB-183-BL	BLM
DTB-183-BL	BRIP1
DTB-183-BL	ERG
DTB-186-BL	TMPRSS2
DTB-187-BL	TCF12
DTB-187-BL	ZNRF3
DTB-187-BL	PTEN
DTB-187-BL	GNAS
DTB-188-BL	AR
DTB-190-BL	ZFHX3
DTB-190-BL	TP53
DTB-201-PRO	ZFHX3
DTB-201-PRO	TTC28
DTB-201-PRO	AR
DTB-202-BL	TMPRSS2
DTB-204-BL	TTC28
DTB-205-BL	MSH2
DTB-205-BL	IL6ST
DTB-205-BL	MYC
DTB-205-BL	COL5A3
DTB-205-BL	BRAF
DTB-205-BL	KMT2C
DTB-205-BL	GNAS
DTB-205-BL	TBC1D2
DTB-205-BL	ZBTB16
DTB-205-BL	TMPRSS2
DTB-206-BL	TMPRSS2
DTB-206-BL	RB1
DTB-206-BL	TSC2
DTB-210-BL	TTC28
DTB-210-BL	ZBTB16
DTB-210-BL	ARID2
DTB-213-BL	MGA
DTB-214-BL	ELK4
DTB-214-BL	MSH2
DTB-214-BL	IGF2R
DTB-214-BL	PRKDC
DTB-214-BL	TCF12
DTB-216-PRO	PMS1
DTB-216-PRO	TP53
DTB-216-PRO	TCF12
DTB-216-PRO	BAG4
DTB-216-PRO	TMPRSS2
DTB-220-BL	TTC28
DTB-220-BL	PTPRD
DTB-222-BL	ETV1
DTB-222-BL	ATM
DTB-223-BL	TTC28
DTB-223-BL	TMPRSS2
DTB-232-PRO	TTC28
DTB-232-PRO	TP53
DTB-232-PRO	TMPRSS2
DTB-234-BL	PIK3CA
DTB-234-BL	ATR
DTB-234-BL	TTC28
DTB-234-BL	TMPRSS2
DTB-251-BL	TTC28
DTB-252-BL	PTEN
DTB-252-BL	TTC28
DTB-255-BL	TTC28
DTB-255-BL	CHD3
DTB-255-BL	TMPRSS2
DTB-258-BL	RB1
DTB-261-BL	ZFHX3
DTB-261-BL	SMARCA1
DTB-265-PRO	COL5A3
DTB-265-PRO	TTC28
DTB-265-PRO	CHD1
DTB-265-PRO	KMT2A
DTB-265-PRO	ZBTB16
DTB-266-BL	TMPRSS2
01115154-TA1	MTOR
01115154-TA1	ELK4
01115154-TA1	XPO1
01115154-TA1	BAG4
01115154-TA1	MYC
01115154-TA1	ADAMTS8
01115156-TA1	SLC4A2
01115156-TA1	NCOR2
01115156-TA1	AR
01115156-TC5	HRAS
01115156-TC5	CCND1
01115156-TC5	NCOR2
01115156-TC5	AR
01115157-TA3	MTOR
01115157-TA3	TAF1L
01115157-TA3	U2AF1
01115157-TC3	HDAC4
01115157-TC3	EHHADH
01115157-TC3	TAF1L
01115157-TC3	BRCA1
01115157-TC3	ETV4
01115157-TC3	PIK3R2
01115157-TC3	TRPM4
01115157-TC3	MED12
01115183-TA1	TAF1L
01115183-TA1	MAP2K1
01115183-TA1	TSC2
01115202-TC2	XPO1
01115202-TC2	SMARCAD1
01115202-TC2	MAP3K1
01115202-TC2	RASA1
01115202-TC2	APC
01115202-TC2	TCERG1
01115202-TC2	BRAF
01115202-TC2	SLC4A2
01115202-TC2	NKX3-1
01115202-TC2	MYC
01115202-TC2	TBC1D2
01115202-TC2	PAX6
01115202-TC2	CCND1
01115202-TC2	ATM
01115202-TC2	USP28
01115202-TC2	ZBTB16
01115202-TC2	KMT2A
01115202-TC2	KMT2D
01115202-TC2	CDK4
01115202-TC2	RNF31
01115202-TC2	FOXA1
01115202-TC2	PPL
01115202-TC2	PALB2
01115202-TC2	CDC27
01115202-TC2	MBD1
01115202-TC2	ERCC2
01115202-TC2	CNOT3
01115202-TC2	CHD6
01115202-TC2	ITSN1
01115202-TC2	TMPRSS2
01115202-TC2	SMARCA1
01115244-TA3	PTPRC
01115244-TA3	CDC27
01115244-TA3	AR
01115248-TA3	IDH1
01115248-TA3	IL6ST
01115248-TA3	PAX6
01115248-TA3	BRCA2
01115248-TA3	FOXA1
01115248-TA3	CDH1
01115248-TA3	PRPF8
01115248-TA3	MYBBP1A
01115248-TA3	ERCC2
01115248-TA3	ERG
01115248-TA3	AR
01115248-TA3	SMARCA1
01115249-TC5	MTOR
01115249-TC5	ITSN2
01115249-TC5	TAP1
01115249-TC5	WRN
01115249-TC5	WASF3
01115249-TC5	TP53
01115249-TC5	CHD3
01115249-TC5	CNOT3
01115249-TC5	MED12
01115249-TC5	ZMYM3
01115257-TA4	HDAC4
01115257-TA4	FANCD2
01115257-TA4	MET
01115257-TA4	KMT2C
01115257-TA4	MYC
01115257-TA4	RB1
01115257-TA4	PRPF8
01115257-TA4	CDC27
01115257-TA4	SPOP
01115257-TA4	TMPRSS2
01115257-TA4	MED12
01115263-TA3	PTPRC
01115263-TA3	NCOR1
01115284-TA9	ELK4
01115284-TA9	XPO1
01115284-TA9	SF3B1
01115284-TA9	APC
01115284-TA9	NOX3
01115284-TA9	PTEN
01115284-TA9	USP7
01115284-TA9	NCOR1
01115326-TA3	ARID1A
01115326-TA3	ETV5
01115326-TA3	RNF31
01115326-TA3	PALB2
01115326-TA3	FANCA
01115326-TA3	AXL
01115374-TA2	FANCD2
01115374-TA2	SEL1L3
01115374-TA2	SAMD9
01115374-TA2	KMT2C
01115374-TA2	NKX3-1
01115374-TA2	RSPO2
01115374-TA2	MYC
01115374-TA2	FANCG
01115374-TA2	TBC1D2
01115374-TA2	ADAMTS8
01115374-TA2	STAB2
01115374-TA2	NCOR2
01115374-TA2	TSC2
01115374-TA2	RNF43
01115374-TA2	COL5A3
01115374-TA2	CNOT3
01115374-TA2	MATN4
01115374-TA2	AR
01115378-TA2	MTOR
01115378-TA2	ZFP36L2
01115378-TA2	SEL1L3
01115378-TA2	SSR1
01115378-TA2	WRN
01115378-TA2	CCND1
01115378-TA2	NCOR2
01115414-TA1	ELK4
01115414-TA1	SMARCAD1
01115414-TA1	CHD1
01115414-TA1	TAP1
01115414-TA1	TBC1D2
01115414-TA1	TSC1
01115414-TA1	CCND1
01115414-TA1	MRE11
01115414-TA1	CDK4
01115414-TA1	FOXA1
01115414-TA1	BLM
01115414-TA1	USP7
01115414-TA1	NF1
01115414-TA1	CDK12
01115414-TA1	CTDP1
01115414-TA1	ERCC2
01115414-TA1	GNAS
01115444-TA5	NBN
01115444-TA5	TCF12
01115468-TA3	XPO1
01115468-TA3	TBC1D2
01115468-TA3	ZBTB16
01115468-TA3	NCOR2
01115468-TA3	FOXA1
01115503-TC2	FANCD2
01115503-TC2	TCERG1
