sample,TMB
DTB-021-BL,1.63730826400116
DTB-137-PRO,0.939936225630296
DTB-091-BL,2.39532134918688
DTB-018-BL,3.91134751955833
DTB-005-BL,1.78891088103831
DTB-156-BL,2.63788553644632
DTB-094-BL,2.57724448963146
DTB-206-BL,1.5766672171863
DTB-146-BL,2.15275716192745
DTB-129-BL,3.18365495778004
DTB-102-PRO,3.75974490252118
DTB-104-BL,3.30493705140975
DTB-222-BL,2.21339820874231
DTB-035-BL,1.78891088103831
DTB-011-BL,1.81923140444573
DTB-143-BL,1.97083402148288
DTB-170-BL,1.78891088103831
DTB-126-BL,8.7019902179321
DTB-149-BL,3.21397548118746
DTB-216-PRO,2.12243663852002
DTB-124-BL,2.5166034428166
DTB-202-BL,2.42564187259431
DTB-034-BL,3.12301391096518
DTB-023-BL,4.18423223022519
DTB-220-BL,3.18365495778004
DTB-204-BL,2.60756501303889
DTB-190-BL,2.03147506829774
DTB-187-BL,1.87987245126059
DTB-201-PRO,1.51602617037145
DTB-077-PRO,2.00115454489031
DTB-080-BL,1.63730826400116
DTB-098-PRO2,2.42564187259431
DTB-223-BL,1.72826983422345
DTB-055-PRO,1.54634669377887
DTB-151-BL,2.3043597789646
DTB-252-BL,1.45538512355659
DTB-009-BL,1.91019297466802
DTB-040-BL,2.18307768533488
DTB-071-BL,4.54807851111434
DTB-165-PRO,5.79121997081892
DTB-092-BL,2.12243663852002
DTB-003-BL,4.63904008133662
DTB-085-BL,2.33468030237203
DTB-067-PRO,2.60756501303889
DTB-176-BL,5.27577107289263
DTB-111-PRO,2.18307768533488
DTB-112-BL,5.54865578355949
DTB-266-BL,2.21339820874231
DTB-100-BL,2.36500082577945
DTB-234-BL,2.03147506829774
DTB-083-BL,32.2003958586895
DTB-255-BL,2.15275716192745
DTB-167-PRO,2.39532134918688
DTB-059-BL,2.97141129392803
DTB-128-BL,2.42564187259431
DTB-265-PRO,3.63846280889147
DTB-258-BL,2.00115454489031
DTB-036-BL,3.51718071526175
DTB-214-BL,2.36500082577945
DTB-172-BL,2.33468030237203
DTB-210-BL,2.81980867689089
DTB-037-BL,4.30551432385491
DTB-089-BL,2.48628291940917
DTB-022-BL,1.97083402148288
DTB-042-BL,1.18250041288973
DTB-127-PRO,2.7288471066686
DTB-159-BL,1.69794931081602
DTB-061-BL,5.12416845585549
DTB-175-BL,3.06237286415032
DTB-232-PRO,1.3644235533343
DTB-008-BL,2.03147506829774
DTB-074-BL,2.06179559170517
DTB-060-BL,1.84955192785316
DTB-069-BL,2.60756501303889
DTB-024-PRO,4.18423223022519
DTB-260-BL,1.60698774059373
DTB-193-BL,1.51602617037145
DTB-173-BL,4.8209632217812
DTB-183-BL,2.18307768533488
DTB-141-BL,1.94051349807545
DTB-020-BL,1.54634669377887
DTB-121-BL,3.69910385570633
DTB-119-PRO,2.33468030237203
DTB-140-BL,2.85012920029832
DTB-064-BL,3.82038594933604
DTB-188-BL,2.45596239600174
DTB-090-PRO,2.45596239600174
DTB-019-PRO,3.03205234074289
DTB-132-BL,2.66820605985374
DTB-194-PRO,1.78891088103831
DTB-138-BL,3.21397548118746
DTB-063-BL,3.75974490252118
DTB-205-BL,4.06295013659547
DTB-261-BL,2.18307768533488
DTB-251-BL,1.48570564696402
DTB-135-PRO,2.24371873214974
DTB-186-BL,1.81923140444573
DTB-213-BL,2.7288471066686
DTB-097-PRO,4.30551432385491
DTB-101-BL,3.57782176207661
DTB-053-BL,2.21339820874231
01115378-TA2,1.72826983422345
01115326-TA3,3.97198856637319
01115374-TA2,3.79006542592861
01115668-TA4,1.18250041288973
01115556-TC1,2.00115454489031
01115569-TC1,4.39647589407719
01115576-TC2,1.78891088103831
01115202-TC2,2.54692396622403
6115233-T-C1,2.36500082577945
01115183-TA1,3.72942437911376
01115525-TA1,1.27346198311201
01115503-TC2,2.27403925555717
01115468-TA3,7.67109242207951
01115531-TA4,4.00230908978062
06115118-T,1.5766672171863
01115154-TA1,0.970256749037725
01115156-TA1,2.00115454489031
01115257-TA4,3.12301391096518
06115115-T,1.45538512355659
01115244-TA3,1.97083402148288
01115284-TA9,3.72942437911376
01115249-TC5,2.66820605985374
01115655-TC1,2.60756501303889
06115117-T,1.97083402148288
01115549-TA4,1.48570564696402
01115157-TA3,1.5766672171863
01115248-TA3,2.15275716192745
01115444-TA5,1.91019297466802
01115414-TA1,1.5766672171863
01115578-TC4,1.09153884266744
01115589-TC2,2.91077024711318
01115606-TA2,1.42506460014916
01115157-TC3,1.84955192785316
01115644-TA1,1.1521798894823
01115263-TA3,1.48570564696402
01115669-TA3,1.24314145970459
01115156-TC5,1.3644235533343
01115655-TA1,1.91019297466802
01115554-TA2,8.52006707748752
01115581-TA3,0.909615702222867
01115577-TC1,2.45596239600174
01115574-TC3,1.21282093629716
