sample	category
DTB-089-BL	TSC2
DTB-261-BL	TSC2
DTB-112-BL	USP7
DTB-085-BL	PALB2
DTB-261-BL	PALB2
DTB-156-BL	CDH1
DTB-121-BL	ZFHX3
DTB-190-BL	NF1
DTB-190-BL	CDK12
DTB-092-BL	SPOP
DTB-092-BL	BRIP1
DTB-183-BL	BRIP1
DTB-019-PRO	BRIP1
DTB-214-BL	UNC13D
DTB-112-BL	GNAS
DTB-159-BL	TMPRSS2
DTB-132-BL	TMPRSS2
DTB-121-BL	MIRLET7BHG
DTB-132-BL	MIRLET7BHG
DTB-129-BL	KDM6A
DTB-102-PRO	KDM6A
DTB-077-PRO	KDM6A
DTB-111-PRO	KDM6A
DTB-037-BL	KDM6A
DTB-232-PRO	KDM6A
DTB-008-BL	KDM6A
DTB-137-PRO	AR
DTB-018-BL	AR
DTB-005-BL	AR
DTB-156-BL	AR
DTB-094-BL	AR
DTB-102-PRO	AR
DTB-104-BL	AR
DTB-126-BL	AR
DTB-149-BL	AR
DTB-202-BL	AR
DTB-023-BL	AR
DTB-220-BL	AR
DTB-190-BL	AR
DTB-201-PRO	AR
DTB-080-BL	AR
DTB-223-BL	AR
DTB-151-BL	AR
DTB-252-BL	AR
DTB-071-BL	AR
DTB-165-PRO	AR
DTB-092-BL	AR
DTB-085-BL	AR
DTB-176-BL	AR
DTB-255-BL	AR
DTB-167-PRO	AR
DTB-059-BL	AR
DTB-128-BL	AR
DTB-172-BL	AR
DTB-037-BL	AR
DTB-089-BL	AR
DTB-175-BL	AR
DTB-232-PRO	AR
DTB-060-BL	AR
DTB-024-PRO	AR
DTB-193-BL	AR
DTB-141-BL	AR
DTB-119-PRO	AR
DTB-090-PRO	AR
DTB-063-BL	AR
DTB-186-BL	AR
DTB-101-BL	AR
DTB-210-BL	AR
DTB-023-BL	MED12
DTB-190-BL	MED12
DTB-080-BL	MED12
DTB-151-BL	MED12
DTB-071-BL	MED12
DTB-085-BL	MED12
DTB-111-PRO	MED12
DTB-172-BL	MED12
DTB-232-PRO	MED12
DTB-023-BL	ZMYM3
DTB-190-BL	ZMYM3
DTB-080-BL	ZMYM3
DTB-151-BL	ZMYM3
DTB-071-BL	ZMYM3
DTB-085-BL	ZMYM3
DTB-111-PRO	ZMYM3
DTB-172-BL	ZMYM3
DTB-232-PRO	ZMYM3
DTB-170-BL	SMARCA1
01115263-TA3	ARID1A
01115503-TC2	RPRD2
01115503-TC2	SETDB1
01115263-TA3	SETDB1
01115414-TA1	PYHIN1
01115444-TA5	PTPRC
01115576-TC2	ELK4
01115414-TA1	ELK4
01115549-TA4	ASXL2
01115569-TC1	ZFP36L2
01115263-TA3	XPO1
01115444-TA5	PMS1
01115444-TA5	HDAC4
01115668-TA4	BRPF1
01115444-TA5	BRPF1
01115589-TC2	BRPF1
01115668-TA4	FANCD2
01115503-TC2	FANCD2
01115444-TA5	FANCD2
01115589-TC2	FANCD2
01115444-TA5	MLH1
01115444-TA5	SETD2
01115444-TA5	DHX30
01115374-TA2	PIK3CB
01115326-TA3	ETV5
01115444-TA5	SH3RF1
01115263-TA3	IL6ST
06115117-T	MAP3K1
01115374-TA2	APC
01115503-TC2	APC
01115444-TA5	APC
01115444-TA5	JADE2
01115574-TC3	GEMIN5
01115257-TA4	SAMD9
01115444-TA5	SAMD9
01115257-TA4	MET
01115577-TC1	BRAF
01115581-TA3	SLC4A2
01115531-TA4	KMT2C
01115202-TC2	NKX3-1
01115444-TA5	BAG4
01115574-TC3	BAG4
01115183-TA1	PRKDC
01115154-TA1	PRKDC
01115444-TA5	PRKDC
01115574-TC3	PRKDC
01115444-TA5	CHD7
01115183-TA1	NBN
01115248-TA3	NBN
01115444-TA5	NBN
01115581-TA3	NBN
01115576-TC2	RSPO2
01115183-TA1	RSPO2
01115284-TA9	RSPO2
01115581-TA3	RSPO2
01115577-TC1	RSPO2
01115183-TA1	MYC
01115503-TC2	MYC
01115154-TA1	MYC
01115248-TA3	MYC
01115414-TA1	MYC
01115581-TA3	MYC
01115577-TC1	MYC
01115157-TA3	TAF1L
01115157-TC3	TAF1L
01115374-TA2	FANCG
01115157-TA3	FANCG
01115157-TC3	FANCG
01115569-TC1	TBC1D2
01115569-TC1	COL15A1
01115326-TA3	COL5A1
6115233-T-C1	PTEN
01115525-TA1	PTEN
01115156-TA1	PTEN
01115655-TC1	PTEN
06115117-T	PTEN
01115157-TA3	PTEN
01115444-TA5	PTEN
01115606-TA2	PTEN
01115157-TC3	PTEN
01115202-TC2	CCND1
01115183-TA1	CCND1
01115257-TA4	CCND1
01115414-TA1	CCND1
01115581-TA3	CCND1
01115183-TA1	USP28
01115154-TA1	ZBTB16
01115284-TA9	GPR19
01115444-TA5	GPR19
01115284-TA9	CDKN1B
01115444-TA5	CDKN1B
01115249-TC5	KRAS
01115444-TA5	ARID2
01115248-TA3	STAB2
01115581-TA3	STAB2
01115154-TA1	NCOR2
01115444-TA5	WASF3
01115244-TA3	BRCA2
01115444-TA5	BRCA2
01115444-TA5	RB1
01115503-TC2	RNF31
01115444-TA5	RNF31
01115581-TA3	RNF31
01115326-TA3	FOXA1
01115531-TA4	FOXA1
01115444-TA5	FOXA1
01115444-TA5	RAD51B
01115444-TA5	ZFP36L1
01115444-TA5	AKT1
01115248-TA3	BLM
01115668-TA4	AXIN1
01115374-TA2	TSC2
01115668-TA4	TSC2
01115503-TC2	TSC2
01115202-TC2	PPL
01115284-TA9	USP7
01115263-TA3	CDH1
01115444-TA5	ZFHX3
01115549-TA4	FANCA
01115549-TA4	MYBBP1A
01115668-TA4	CHD3
01115554-TA2	MAP2K4
6115233-T-C1	NCOR1
01115414-TA1	CDK12
01115263-TA3	SPOP
01115581-TA3	RNF43
01115581-TA3	BRIP1
01115655-TC1	ERCC2
01115414-TA1	ERCC2
01115655-TC1	TRPM4
01115263-TA3	TRPM4
01115655-TC1	CNOT3
01115414-TA1	CNOT3
01115668-TA4	GNAS
01115444-TA5	GNAS
01115414-TA1	GNAS
01115444-TA5	TTC28
01115156-TA1	KDM6A
01115578-TC4	KDM6A
01115263-TA3	KDM6A
01115156-TC5	KDM6A
01115326-TA3	AR
01115374-TA2	AR
01115668-TA4	AR
01115569-TC1	AR
01115202-TC2	AR
01115503-TC2	AR
06115118-T	AR
01115154-TA1	AR
01115257-TA4	AR
06115115-T	AR
01115284-TA9	AR
01115249-TC5	AR
01115655-TC1	AR
01115157-TA3	AR
01115248-TA3	AR
01115444-TA5	AR
01115414-TA1	AR
01115606-TA2	AR
01115157-TC3	AR
01115655-TA1	AR
01115554-TA2	AR
01115577-TC1	AR
01115574-TC3	AR
01115249-TC5	MED12
01115606-TA2	MED12
01115257-TA4	ZMYM3
01115606-TA2	ZMYM3
01115574-TC3	SMARCA1
