Sample	AR	Enhancer	logR.AR	logR.Enhancer	purity	ploidy	ploidy.X	AR.CCF	Enhancer.CCF	AR.norm	Enhancer.norm	FC	call
DTB-252-BL	4	4	1.80458125	1.7803	0.846	1.987	2	0	0	4.02617010568697	4.02617010568697	0	Coamplification
DTB-009-BL	3.25	3.5	0.8747375	0.9248	0.7224	3.276	3	0.323918631414416	0.454854098699369	1.98412698412698	2.13675213675214	0.106915203916512	Coamplification
DTB-040-BL	1	1	-0.34791875	-0.37225	0.93468	2.607	1	0	0	0.767165324127349	0.767165324127349	0	No amplification
DTB-071-BL	36.375	59	4.40005625	5.0948	0.8846	3.199	1	0.393986758721901	0	22.7414817130353	36.8865270396999	0.697767706453558	Coamplification
DTB-165-PRO	12.125	7	2.53021875	1.7969	0.6485	3.271	2	0	0	7.41363497401406	4.28003668602874	-0.792557920129523	Coamplification
DTB-092-BL	58.5	43	4.5521875	4.1112	0.5374	3.342	1	0.537803821057355	0	35.0089766606822	25.7330939557151	-0.444099964881307	Coamplification
DTB-003-BL	2.0625	2	0.23483125	0.2941	0.5616	3.662	3	0.292654874157484	0.421540643509945	1.12643364281813	1.09229929000546	-0.0443941193584536	No amplification
DTB-085-BL	7	8	1.74114375	1.8522	0.5547	3.11	2	0	0	4.5016077170418	5.14469453376206	0.192645077942396	Coamplification
DTB-067-PRO	2	2	0.1203	0.0463	0.8516	3.782	2	0	0	1.05764145954521	1.05764145954521	0	No amplification
DTB-176-BL	29.25	35.5	4.67213125	4.9667	0.8866	2.042	1	0.163185097381453	0.798152649063185	28.6483839373164	34.769833496572	0.279382399921277	Coamplification
DTB-111-PRO	3.8125	4	0.9943375	0.9999	0.7388	3.274	3	0.611951342918871	0	2.32895540623091	2.44349419670128	0.0692626624371135	Coamplification
DTB-112-BL	3	3	0.5992875	0.68875	0.5272	3.242	3	0	0.161615547785551	1.85070943861814	1.85070943861814	0	Coamplification
DTB-266-BL	2	2	0.86971875	0.81265	0.848	2.092	2	0	0	1.91204588910134	1.91204588910134	0	Coamplification
DTB-100-BL	3	4	0.80569375	1.36805	0.8993	3.263	1	0	0.388309392971762	1.83879865154766	2.45173153539687	0.415037499278844	Coamplification
DTB-234-BL	2	4.5	0.25850625	1.3047	0.6069	3.18	2	0	0.880169300959843	1.25786163522013	2.83018867924528	1.16992500144231	Selective Enhancer
DTB-083-BL	2	4	0.05538125	0.7506	0.445	3.462	2	0	0	1.15540150202195	2.31080300404391	1	Selective Enhancer
DTB-255-BL	17.875	16.5	2.9984375	2.87195	0.6435	3.505	1	0.878037382921067	0.330834478854117	10.1997146932953	9.4151212553495	-0.115477217419936	Coamplification
DTB-167-PRO	29.9375	31	3.878075	3.91675	0.6727	3.162	1	0.913359137896366	0	18.9358001265022	19.6078431372549	0.0503144646506949	Coamplification
DTB-059-BL	105.125	110.5	5.513975	5.58305	0.6392	3.499	2	0.172520516680284	0.358270158158964	60.0885967419263	63.1609031151758	0.0719405691362873	Coamplification
DTB-128-BL	25.8125	24.5	3.574225	3.5001	0.783	3.839	2	0.88707327140721	0.576719149024609	13.4475123730138	12.7637405574368	-0.0752881273042371	Coamplification
DTB-265-PRO	25.125	25.5	3.5122375	3.5249	0.6812	3.546	2	0.101973659149828	0.327388471250925	14.17089678511	14.3824027072758	0.021373650792567	Coamplification
DTB-258-BL	3	5	0.7288125	1.41375	0.7505	3.293	3	0	0	1.82204676586699	3.03674460977832	0.736965594166206	Coamplification
DTB-036-BL	2	2	0.145675	0.04865	0.7635	3.467	2	0	0	1.15373521776752	1.15373521776752	0	No amplification
DTB-214-BL	2	6	0.87088125	2.2946	0.8259	2.139	2	0.130586858814168	0	1.8700327255727	5.61009817671809	1.58496250072116	Coamplification
DTB-172-BL	6	5.5	1.40340625	1.3265	0.5782	3.581	2	0	0.590504472089347	3.35101926836079	3.07176766266406	-0.125530882083859	Coamplification
DTB-210-BL	3	1	1.73314375	0.18945	0.8929	1.692	1	0	0	3.54609929078014	1.18203309692671	-1.58496250072116	Selective AR
DTB-037-BL	4.1875	4	1.26723125	1.23415	0.4585	2.113	1	0.20467952848912	0	3.96355892096545	3.78608613345954	-0.0660891904577723	Coamplification
DTB-089-BL	38.3125	29	3.74595625	3.38195	0.4927	3.703	3	0	0	20.6926816095058	15.6629759654334	-0.40176226856321	Coamplification
DTB-022-BL	1	3	0.00403125	1.26175	0.6454	1.974	1	0	0.134716009508449	1.01317122593718	3.03951367781155	1.58496250072116	Selective Enhancer
DTB-042-BL	2.125	3	0.3005	0.50045	0.1904	1.961	1	0.192219495763974	0.150222779383032	2.16726160122387	3.05966343702193	0.497499659470817	Coamplification
DTB-127-PRO	2	4	0.2346875	1.1468	0.8592	3.41	2	0	0	1.17302052785924	2.34604105571848	1	Selective Enhancer
DTB-159-BL	1.8125	1	-0.03759375	-0.10065	0.4992	3.311	2	0.587114323530136	0.476337072482119	1.09483539716098	0.604047115675023	-0.857980995127572	Selective AR
DTB-061-BL	4	4	1.07683125	1.0611	0.8014	3.509	3	0	0	2.27985180963237	2.27985180963237	0	Coamplification
DTB-175-BL	2.8125	5	1.2501625	1.91745	0.8175	2.145	2	0.858915789973521	0	2.62237762237762	4.66200466200466	0.830074998557688	Coamplification
DTB-232-PRO	4	4	1.048875	0.968	0.5528	3.11	4	0	0	2.57234726688103	2.57234726688103	0	Coamplification
DTB-008-BL	2	4.5	0.29879375	1.084	0.6354	3.391	2	0.217703751588987	0.236914886380728	1.17959304040106	2.65408434090239	1.16992500144231	Selective Enhancer
DTB-074-BL	2.0625	2	0.07575625	0.0146	0.3832	3.498	2	0	0	1.17924528301887	1.14351057747284	-0.0443941193584534	No amplification
DTB-060-BL	77.75	73	5.483375	5.38595	0.609	2.221	1	0.75999813486997	0	70.013507429086	65.7361548851869	-0.0909462112505852	Coamplification
DTB-069-BL	32.8125	26	4.3032125	4.00815	0.94369	3.165	2	0.360415725390782	0.36390014667544	20.7345971563981	16.4296998420221	-0.335733894412393	Coamplification
DTB-024-PRO	17.625	22.5	2.27478125	2.5717	0.2917	3.45	2	0.670063964218362	0.262870186345907	10.2173913043478	13.0434782608696	0.352301743930881	Coamplification
DTB-260-BL	1	2	0.00809375	0.5254	0.4632	2.003	1	0	0	0.998502246630055	1.99700449326011	1	Selective Enhancer
DTB-193-BL	9.0625	17	0.543725	0.96085	0.0647	3.235	2	0	0	5.60278207109737	10.5100463678516	0.907553751235405	Coamplification
DTB-173-BL	3	3	0.633325	0.70795	0.7579	3.882	3	0.186806812065797	0.372943636987463	1.54559505409583	1.54559505409583	0	Coamplification
DTB-183-BL	2	2	0.82918125	0.70835	0.95618	2.351	2	0.12407725524318	0	1.70140365801786	1.70140365801786	0	Coamplification
DTB-141-BL	27.25	24.5	3.483675	3.3447	0.6938	4.035	2	0	0.538227098862481	13.5068153655514	12.1437422552664	-0.153474480661718	Coamplification
DTB-020-BL	2.1875	1	0.9099125	-0.08565	0.7675	2.221	1	0.352809605286754	0	1.96983340837461	0.90049527239982	-1.12928301694497	Selective AR
DTB-121-BL	2	2	0.087525	0.063	0.8454	3.458	2	0	0	1.15673799884326	1.15673799884326	0	No amplification
DTB-119-PRO	3.3125	7.5	1.08950625	2.0429	0.5801	2.489	2	0.464811843563565	0.387160275177792	2.66171153073524	6.0265166733628	1.17897014104532	Coamplification
DTB-140-BL	3.875	4	0.96770625	1.06645	0.585	3.104	3	0.71328650810503	0	2.49677835051546	2.57731958762887	0.0458036896131248	Coamplification
DTB-064-BL	3.0625	5	0.55840625	1.0416	0.3919	3.17	3	0	0	1.93217665615142	3.15457413249211	0.707218250772154	Coamplification
DTB-188-BL	1.875	2	0.30584375	0.3368	0.4178	2.694	1	0.994143005928597	0	1.39198218262806	1.48478099480327	0.0931094043914818	No amplification
DTB-090-PRO	149.9375	128	6.1666875	5.94285	0.7685	3.574	3	0.714744758166484	0.155157247858197	83.9045886961388	71.6284275321768	-0.228217442293435	Coamplification
DTB-019-PRO	2.125	3	0.5824125	0.88055	0.5803	2.659	2	0.350435681386563	0	1.5983452425724	2.25648740127868	0.497499659470817	Coamplification
DTB-132-BL	1	2.5	0.15901875	1.0864	0.8017	2.012	1	0.152049636145979	0.414056660739571	0.99403578528827	2.48508946322068	1.32192809488736	Selective Enhancer
DTB-194-PRO	1	1	0.10299375	0.13015	0.4513	1.897	1	0.108659359119032	0.152828094751664	1.05429625724829	1.05429625724829	0	No amplification
DTB-138-BL	2.6875	5.5	0.5050125	1.55005	0.838	3.486	2	0.554579665370809	0.476748365659075	1.54188181296615	3.15547905909352	1.0331668639352	Coamplification
DTB-063-BL	29.3125	29	3.783075	3.75295	0.6417	3.221	2	0.298950344487692	0	18.2008692952499	18.0068301769637	-0.0154631173878047	Coamplification
DTB-205-BL	2	7	0.51413125	2.2301	0.8949	2.791	2	0	0	1.43317807237549	5.01612325331422	1.8073549220576	Selective Enhancer
DTB-261-BL	1	2	0.008925	0.6912	0.8151	2.03	1	0	0	0.985221674876847	1.97044334975369	1	Selective Enhancer
DTB-251-BL	1.625	3	0.3958875	1.16325	0.5439	1.954	2	0.550270744880882	0.227609748014247	1.6632548618219	3.07062436028659	0.884522782580064	Coamplification
DTB-135-PRO	2	2	0.063475	0.0708	0.8085	3.253	2	0	0	1.22963418383031	1.22963418383031	0	No amplification
DTB-186-BL	34.6875	53	4.0998625	4.6956	0.6771	3.159	1	0.783444025865444	0	21.9610636277303	33.5549224438113	0.611576493325731	Coamplification
DTB-213-BL	2	2	0.40926875	0.35885	0.8526	2.987	2	0	0	1.33913625711416	1.33913625711416	0	No amplification
DTB-097-PRO	3	3	0.579875	0.5315	0.5919	3.524	3	0	0	1.70261066969353	1.70261066969353	0	Coamplification
DTB-101-BL	28.5625	23.5	3.7886125	3.52965	0.7343	3.429	1	0.331738189829561	0.61705830364758	16.6593759113444	13.7066200058326	-0.281461503380432	Coamplification
DTB-053-BL	2	2	0.3938375	0.39885	0.8783	2.971	2	0	0	1.346348030966	1.346348030966	0	No amplification
01115378-TA2	2	2	0.35588	0.31545	0.93401	3.447	2	0.225442756807554	0.161990369725784	1.16042935886278	1.16042935886278	0	No amplification
01115326-TA3	23.3	27	3.65336	3.8864	0.8821	3.433	2	0.146173417830785	0.227335447569617	13.5741334110108	15.729682493446	0.212629452396551	Coamplification
01115374-TA2	2.3	4	0.986805	1.76035	0.839	2.253	1	0.420888775911533	0.274567853893891	2.04172214824678	3.55082112738571	0.798366138830349	Coamplification
01115668-TA4	25.45	30.5	3.681375	3.96425	0.7957	3.424	2	0	0.472345406093163	14.8656542056075	17.8154205607477	0.261143586374553	Coamplification
01115556-TC1	1.05	2	0.400405	0.574	0.7925	1.906	1	0.341597742727123	0	1.10178384050367	2.09863588667366	0.929610672108602	Selective Enhancer
01115569-TC1	4.45	4	1.88195	1.7938	0.7761	1.996	1	0.453173581221984	0.172126864209868	4.45891783567134	4.00801603206413	-0.153805336079036	Coamplification
01115576-TC2	2.3	2	0.333485	-0.12135	0.7715	3.387	2	0.210922298348849	0	1.35813404192501	1.18098612341305	-0.20163386116965	No amplification
01115202-TC2	306.85	302.5	7.03832	7.0248	0.7623	4.018	2	0	0	152.737680438029	150.572424091588	-0.0205984410881912	Coamplification
6115233-T-C1	1.85	7	-0.049645	1.8125	0.7468	3.531	2	0.694311698224042	0	1.04786179552535	3.96488246955537	1.91982965131602	Selective Enhancer
01115183-TA1	1.9	2	0.55474	0.58485	0.7001	2.231	2	0.839425412286987	0	1.70327207530256	1.79291797400269	0.0740005814437768	Coamplification
